latitude_dd,longitude_dd,state,county,waterbody,peak_date,peak_stage,height_above_gnd
29.81397,-96.11069,TX,Austin County,brazos creek,9/2/2017 5:00:00 PM,130.43,5.6
29.79306,-96.08163,TX,Austin County,brazos river,9/2/2017 5:00:00 PM,127.29,7.23
29.77137,-96.03754,TX,Austin County,brazos river,9/2/2017 5:00:00 PM,120.02,6.1
29.7401,-96.04173,TX,Austin County,brazos river,9/2/2017 5:00:00 PM,118.31,0
29.74451,-96.04016,TX,Austin County,brazos river,9/2/2017 5:00:00 PM,119.2,6.13
29.70871,-96.04501,TX,Austin County,brazos river,9/2/2017 5:00:00 PM,113.69,3.34
29.68492,-96.05888,TX,Austin County,brazos river,9/2/2017 5:00:00 PM,112.54,7.6
29.6616,-96.05042,TX,Austin County,bessies creek,9/2/2017 5:00:00 PM,113.07,4.6
29.67883,-96.01545,TX,Fort Bend County,brazos river,9/2/2017 5:00:00 PM,113.87,3.9
29.64249,-95.9767,TX,Fort Bend County,brazos river,9/2/2017 5:00:00 PM,108.59,3.61
29.70178,-95.99787,TX,Fort Bend County,brazos river,9/2/2017 5:00:00 PM,114.73,4.2
29.81206,-96.10825,TX,Matagorda County,brazos river,9/2/2017 5:00:00 PM,130.13,5.43
29.91801,-96.00157,TX,Waller County,bessies creek,9/2/2017 5:00:00 PM,165.46,3.71
27.60275,-97.24781,TX,Nueces County,Gulf of Mexico,8/26/2017 5:00:00 PM,5.57,0
29.91331,-96.08236,TX,Waller County,Bessies Creek,9/2/2017 5:00:00 PM,137.09,5.1
29.81746,-96.06119,TX,Waller County,brazos river,9/2/2017 5:00:00 PM,127.81,0
29.82733,-96.03619,TX,Waller County,brazos river,9/2/2017 5:00:00 PM,128.75,1.16
29.83108,-96.00887,TX,Waller County,Brazos River,9/2/2017 5:00:00 PM,129,0
29.78864,-95.93972,TX,Waller County,brookshire creek,9/2/2017 5:00:00 PM,159.06,1.59
27.80834,-97.08537,TX,Nueces County,Gulf of Mexico,8/26/2017 5:00:00 PM,9.4,5.08
27.70062,-97.15755,TX,Nueces County,Gulf of Mexico,8/26/2017 5:00:00 PM,8.9,3.29
28.22318,-96.98648,TX,Aransas County,Cavasso Creek,8/27/2017 5:00:00 PM,7.34,0
28.88646,-96.18152,TX,Matagorda County,Gulf of Mexico,8/26/2017 5:00:00 PM,22.55,0
28.92805,-96.17084,TX,Matagorda County,Gulf of Mexico,8/26/2017 5:00:00 PM,32.76,0
28.99598,-96.13632,TX,Matagorda County,Gulf of Mexico,8/26/2017 5:00:00 PM,52.88,0
29.10167,-96.17662,TX,Wharton County,Gulf of Mexico,8/26/2017 5:00:00 PM,78.14,0.45
29.18815,-96.27016,TX,Wharton County,Gulf of Mexico,8/26/2017 5:00:00 PM,98.05,0
29.51387,-97.49529,TX,Gonzales County,San Marcos River,8/30/2017 5:00:00 PM,290.85,1
29.50151,-97.49217,TX,Gonzales County,San Marcos River,8/30/2017 5:00:00 PM,283.54,1.75
29.50605,-97.47558,TX,Gonzales County,San Marcos River,8/26/2017 5:00:00 PM,278.27,1.05
29.51374,-97.42617,TX,Gonzales County,Kerr creek,8/30/2017 5:00:00 PM,277.71,0
29.50815,-97.43015,TX,Gonzales County,Kerr creek,8/30/2017 5:00:00 PM,273.88,0
29.46976,-97.49102,TX,Gonzales County,Guadalupe river,8/30/2017 5:00:00 PM,287.32,1.35
29.46113,-97.43656,TX,Gonzales County,unknown creek,8/30/2017 5:00:00 PM,266.93,0
29.44052,-97.42224,TX,Gonzales County,Unknown,8/30/2017 5:00:00 PM,261.05,0
29.41312,-97.36591,TX,Gonzales County,Guadalupe River,8/30/2017 5:00:00 PM,252.51,0
29.4505,-97.38682,TX,Gonzales County,Guadalupe River,8/30/2017 5:00:00 PM,254.07,0
29.65606,-97.60262,TX,Caldwell County,Guadalupe River,8/30/2017 5:00:00 PM,338.66,4.23
29.58155,-97.14355,TX,Lavaca County,Rocky Creek,9/2/2017 5:00:00 PM,362.55,1.1
29.68641,-97.64698,TX,Caldwell County,Guadalupe River,8/30/2017 5:00:00 PM,365.45,0
28.13911,-96.97765,TX,Aransas County,Gulf of Mexico,8/26/2017 5:00:00 PM,5.01,0
29.82694,-97.67191,TX,Caldwell County,Guadalupe River,8/30/2017 5:00:00 PM,444.39,2.75
29.87506,-97.62302,TX,Caldwell County,Guadalupe River,8/30/2017 5:00:00 PM,419.22,2.71
29.75451,-97.59287,TX,Caldwell County,Guadalupe River,8/30/2017 5:00:00 PM,365.79,1.9
29.80149,-97.55702,TX,Caldwell County,Guadalupe River,8/30/2017 5:00:00 PM,385.82,1.9
29.79162,-97.57829,TX,Caldwell County,Guadalupe River,8/30/2017 5:00:00 PM,379.94,0
29.73096,-97.62656,TX,Caldwell County,Guadalupe River,8/30/2017 5:00:00 PM,362.66,2.8
29.71868,-97.60104,TX,Caldwell County,Guadalupe River,8/30/2017 5:00:00 PM,352.52,2.55
29.69949,-97.60329,TX,Caldwell County,Guadalupe River,8/30/2017 5:00:00 PM,347.29,4.13
29.45283,-97.18698,TX,Lavaca County,Rocky Creek,9/2/2017 5:00:00 PM,385.5,3.3
29.67581,-97.60373,TX,Caldwell County,Guadalupe River,8/30/2017 5:00:00 PM,340.72,4.23
30.14694,-96.95699,TX,Lee County,Rabbs Creek,8/30/2017 5:00:00 PM,393.97,0
29.439,-97.16998,TX,Lavaca County,Rocky Creek,9/2/2017 5:00:00 PM,332.25,4.72
29.99859,-97.04358,TX,Fayette County,Little Pin Oak creek,8/30/2017 5:00:00 PM,290.68,0
30.01009,-97.03794,TX,Fayette County,Little Pin Oak Creek,8/30/2017 5:00:00 PM,297.58,0
30.01763,-97.05989,TX,Fayette County,Pin Oak Creek,8/30/2017 5:00:00 PM,300.85,0.5
29.41432,-97.16265,TX,Lavaca County,Lavaca River,9/2/2017 5:00:00 PM,318.85,12
29.96539,-97.03149,TX,Fayette County,Colorado river tributarty,8/30/2017 5:00:00 PM,278.2,0
29.96445,-97.00214,TX,Fayette County,Colorado River,8/30/2017 5:00:00 PM,282.05,0.78
30.0116,-96.91731,TX,Fayette County,Rabbs Creek,8/30/2017 5:00:00 PM,274.35,4.82
30.04901,-96.8923,TX,Fayette County,Rabbs Creek,8/30/2017 5:00:00 PM,295.24,2.26
29.42917,-97.07833,TX,Lavaca County,Rocky Creek,9/2/2017 5:00:00 PM,263.8,3.91
29.95088809,-96.51694444,TX,Jackson County,Lavaca River,8/29/2017 5:00:00 PM,46.54,0
29.46748,-96.95377,TX,Lavaca County,Lavaca River,9/2/2017 5:00:00 PM,225.4,0
29.03828991,-96.62115,TX,Jackson County,Navidad river,8/29/2017 5:00:00 PM,58.87,3.3
29.02089683,-96.56861111,TX,Jackson County,Texanna  lake,8/29/2017 5:00:00 PM,51.47,1.2
29.02528545,-96.54916667,TX,Jackson County,Texanna Lake,8/29/2017 5:00:00 PM,46.11,0
29.36248,-96.9256,TX,Lavaca County,Lavaca River,9/2/2017 5:00:00 PM,182.5,3.4
29.33821,-96.92994,TX,Lavaca County,Lavaca River,9/2/2017 5:00:00 PM,181.4,3.94
29.3559,-96.96695,TX,Lavaca County,Rocky Creek,9/20/2017 5:00:00 PM,193.8,0
29.73966,-96.97211,TX,Fayette County,Navidad River,8/30/2017 5:00:00 PM,311.43,1.3
29.51016,-96.82623,TX,Lavaca County,Navidad river,8/30/2017 5:00:00 PM,210.37,0
29.4922,-96.83736,TX,Lavaca County,Mixon creek,8/30/2017 5:00:00 PM,204,1.61
29.49993,-96.81396,TX,Lavaca County,Navidad river,10/4/2017 5:00:00 PM,201.41,0
29.597,-96.83376,TX,Colorado County,Navidad River,8/30/2017 5:00:00 PM,227.81,0
29.61833,-96.91248,TX,Lavaca County,Navidad River,8/30/2017 5:00:00 PM,248.72,0
29.60645,-96.97903,TX,Lavaca County,Big Rocky Creek,8/30/2017 5:00:00 PM,299.78,0
29.65353,-97.02212,TX,Fayette County,Mullberry Creek,8/30/2017 5:00:00 PM,328.18,0
29.70264,-97.00375,TX,Fayette County,Rocky Creek,8/30/2017 5:00:00 PM,313.71,2.9
28.13801,-97.00061,TX,Aransas County,Gulf of Mexico,8/26/2017 5:00:00 PM,10.34,0
28.13641,-97.00903,TX,Aransas County,Gulf of Mexico,8/26/2017 5:00:00 PM,7.86,0
28.13047,-96.9786,TX,Aransas County,Gulf of Mexico,8/26/2017 5:00:00 PM,9.52,0
29.77006,-96.9093,TX,Fayette County,East Navidad River,8/30/2017 5:00:00 PM,334.54,0.96
30.32141,-95.04375,TX,Liberty County,San Jacinto River,8/30/2017 5:00:00 PM,231.54,0
30.35497,-95.0524,TX,Liberty County,San Jacinto River,8/30/2017 5:00:00 PM,148.6,
30.06112,-95.13171,TX,Harris County,San Jacinto River,8/30/2017 5:00:00 PM,55.17,2.35
30.06727,-95.09903,TX,Harris County,San Jacinto River,8/30/2017 5:00:00 PM,56.81,2.8
28.3654,-96.57837,TX,Calhoun County,Gulf of Mexico,8/26/2017 5:00:00 PM,3.85,1.45
28.40955,-96.72647,TX,Calhoun County,Gulf of Mexico,8/26/2017 5:00:00 PM,7.76,0
28.47645,-96.8625,TX,Refugio County,Guadalupe River,8/30/2017 5:00:00 PM,10.61,4
28.51861,-96.80507,TX,Calhoun County,Victoria Barge Canal,8/30/2017 5:00:00 PM,8.76,0
29.68308,-96.93722,TX,Fayette County,West Navidad River,8/30/2017 5:00:00 PM,272.42,0
29.68195,-96.9268,TX,Fayette County,West Navidad Tributary,8/30/2017 5:00:00 PM,267.98,2.08
29.6823,-96.88776,TX,Fayette County,Black Bayou Creek,8/30/2017 5:00:00 PM,303.57,0
29.68869,-96.86626,TX,Fayette County,Middle creek,8/30/2017 5:00:00 PM,268.76,0
28.61249,-96.62054,TX,Calhoun County,Gulf of Mexico,8/26/2017 5:00:00 PM,9.06,0
29.6975,-96.83832,TX,Fayette County,East Navidad river,8/30/2017 5:00:00 PM,265.56,0
29.72665,-96.84562,TX,Fayette County,East Navidad River,8/30/2017 5:00:00 PM,280.27,1.35
28.63628,-96.61617,TX,Calhoun County,Gulf of Mexico,8/26/2017 5:00:00 PM,8.55,0
28.67545,-96.6413,TX,Calhoun County,Gulf of Mexico,8/26/2017 4:00:00 PM,14.44,0
29.40779,-96.98339,TX,Lavaca County,Rocky Creek,9/2/2017 5:00:00 PM,217.7,0
29.42720295,-96.72555556,TX,Lavaca County,West Ragsdale Creek,8/30/2017 5:00:00 PM,211.29,0
29.45336,-96.76177,TX,Lavaca County,Navidad River,8/30/2017 5:00:00 PM,205.42,0
29.46713,-96.81269,TX,Lavaca County,Navidad,8/30/2017 5:00:00 PM,195.61,0
28.6937,-96.66576,TX,Calhoun County,Gulf of Mexico,8/26/2017 5:00:00 PM,9.49,0
29.43515,-96.82509,TX,Lavaca County,Cat Thicket branch,8/30/2017 5:00:00 PM,184.21,3.51
29.38567163,-96.76763,TX,Lavaca County,Navidad river,8/30/2017 5:00:00 PM,170,2.7
29.37996454,-96.7874,TX,Lavaca County,Naviodad River,8/30/2017 5:00:00 PM,172.5,0
