lat,lon,elev_meters
29.7695,-95.2654,4.48
29.7383,-95.2654,4.07
29.7383,-95.2654,4.07
29.7265,-95.2669,3.37
29.8043,-95.2845,12.61
29.8132,-95.3752,19.58
29.7844,-95.2649,9.89
29.7844,-95.2649,9.89
29.7755,-95.2641,5.22
29.8129,-95.3993,17.92
29.8093,-95.3171,12.66
29.8093,-95.3171,12.66
29.8073,-95.3018,13.23
29.8073,-95.3018,13.23
29.681,-95.3665,13.3
29.6857,-95.3408,10.95
29.6889,-95.3321,10.67
29.6889,-95.3321,10.67
29.6971,-95.3107,10.06
29.695,-95.3192,10.49
29.6793,-95.4536,16.53
29.7059,-95.4593,15.84
29.7263,-95.4603,17.41
29.7263,-95.4603,17.41
29.6892,-95.4589,15.43
29.7167,-95.4601,15.76
29.7117,-95.46,15.66
29.754,-95.4555,14.66
29.754,-95.4555,14.66
29.49431438,-95.91160125,32.25
29.555969,-95.717019,22.86
29.534398,-95.776479,29.59
30.07,-95.247,25.43
29.546654,-95.746749,19.81
29.534398,-95.776479,29.59
30.1045,-95.2365,30.16
29.546654,-95.746749,19.81
29.546654,-95.746749,19.81
30.2688,-95.1389,40.95
29.580903000000006,-95.648076,22.89
29.568156,-95.668321,14.0
29.568156,-95.668321,14.0
29.90271639,-95.31161554,20.42
29.74062,-95.3662,7.94
29.91079293,-95.30958779,19.39
29.80831125,-95.33613575,14.23
29.80831125,-95.33613575,14.23
30.0265,-95.2589,13.23
29.96558299,-95.2844427,22.23
29.9522907,-95.29034617,22.25
29.9522907,-95.29034617,22.25
29.813336600000003,-95.33519053,10.1
29.813336600000003,-95.33519053,10.1
29.79389311,-95.3397711,13.33
30.0181,-95.2624,20.67
30.0265,-95.2589,13.23
29.7444593,-95.36307635,8.56
29.6613,-95.5574,22.22
29.6613,-95.5574,22.22
29.7044,-95.5129,20.0
29.6921,-95.5269,19.85
29.7238,-95.4912,19.33
29.6759,-95.5418,20.5
29.7288,-95.4415,16.72
29.7258,-95.4765,17.77
29.654,-95.5655,23.04
29.7447,-95.3625,8.25
29.73398479,-95.37158509,8.23
29.7288,-95.4606,17.13
29.7312,-95.402,9.92
29.7288,-95.4606,17.13
29.654,-95.5655,23.04
30.04349,-95.25028,25.17
29.52857,-95.13096,5.82
29.52857,-95.13096,5.82
29.28533304,-94.862913,1.6
29.31435548,-94.7705656,4.43
30.32798,-95.23932,49.13
29.70836,-95.01126,2.72
29.7125,-95.1973,7.41
29.7125,-95.1973,7.41
29.7125,-95.1973,7.41
29.7125,-95.1973,7.41
29.7077,-95.2282,6.93
29.7104,-95.22,2.99
29.7104,-95.22,2.99
29.7098,-95.2668,5.52
30.06681827,-95.62309997,48.23
29.993,-95.5759,39.67
29.993,-95.5759,39.67
29.72221181,-95.37698243,9.19
29.4392,-95.4277,15.42
29.7338,-95.3709,8.57
29.6807,-95.381,9.07
29.668000000000006,-95.3828,14.11
29.6436,-95.387,13.68
29.59738775,-95.38657375,16.82
29.59738775,-95.38657375,16.82
29.668000000000006,-95.3828,14.11
29.7338,-95.3709,8.57
29.74228199,-95.36433315,8.22
29.71244999,-95.37849191,10.99
29.71244999,-95.37849191,10.99
29.4826,-95.40114,17.1
29.59738775,-95.38657375,16.82
29.58032,-95.38582,17.4
29.3516,-95.4247,13.44
29.58032,-95.38582,17.4
29.3169,-95.4238,10.57
29.34157,-94.93567,2.62
29.34157,-94.93567,2.62
29.504411,-95.092282,5.9
29.504411,-95.092282,5.9
29.4525744,-95.04030068,4.3
29.521420000000006,-95.260134,13.47
29.44749,-95.238795,11.63
29.143226,-95.637114,9.56
29.14712,-95.658137,11.02
29.138058,-95.653272,9.77
29.507385,-95.46127,20.26
29.46291,-95.34352,15.86
29.78798,-95.6447,28.51
29.8132,-95.6454,30.17
29.45412,-95.31788,16.08
29.677184000000004,-95.643556,27.55
29.43853499,-95.27180423,14.25
29.54969333,-94.38837158,1.52
29.50841144,-94.50027204,0.0
29.30934904,-94.76911407,2.21
29.32726764,-94.77320939,0.36
29.581482,-95.67844,16.87
29.581482,-95.67844,16.87
30.075341,-95.556819,46.69
30.075341,-95.556819,46.69
30.13744393,-95.30804728,33.57
30.13744393,-95.30804728,33.57
30.13756222,-95.29042172,35.04
30.13756222,-95.29042172,35.04
30.13756222,-95.29042172,35.04
30.141196,-95.338406,17.86
30.141196,-95.338406,17.86
29.998957,-95.768975,60.99
29.83169623,-95.76066809,41.43
29.87528467,-95.75652727,44.51
29.87528467,-95.75652727,44.51
29.904441,-95.758593,46.7
29.904441,-95.758593,46.7
29.95951111,-95.76972834,47.22
